"Interval_no","Rotation Matrix"

1,0.9245312,0.0255432,-0.3802495

1,-0.0255432,0.999661,0.0050468

1,0.3802495,0.0050468,0.9248702


"RotationMatrix applied to GRAVITY VECTOR"
1.026815,0.,0.


1,0.9153509,-0.0097672,-0.4025386

1,0.0097672,0.9999502,-0.0020527

1,0.4025386,-0.0020527,0.9154007


"RotationMatrix applied to GRAVITY VECTOR"
1.027833,0.,0.


1,0.9097555,0.0061422,-0.4150989

1,-0.0061422,0.9999802,0.0013351

1,0.4150989,0.0013351,0.9097753


"RotationMatrix applied to GRAVITY VECTOR"
1.038456,0.,0.


1,0.9041579,0.0029277,-0.4271885

1,-0.0029277,0.9999955,0.0006568

1,0.4271885,0.0006568,0.9041624


"RotationMatrix applied to GRAVITY VECTOR"
1.036934,0.,0.


1,0.8766333,0.0017701,-0.4811558

1,-0.0017701,0.9999983,0.0004538

1,0.4811558,0.0004538,0.876635


"RotationMatrix applied to GRAVITY VECTOR"
1.031127,0.,0.


1,0.8831233,0.0151635,-0.4688958

1,-0.0151635,0.9998779,0.0037757

1,0.4688958,0.0037757,0.8832454


"RotationMatrix applied to GRAVITY VECTOR"
1.037107,0.,0.


1,0.9002065,-0.0147877,-0.4352122

1,0.0147877,0.9998849,-0.0033869

1,0.4352122,-0.0033869,0.9003215


"RotationMatrix applied to GRAVITY VECTOR"
1.010192,0.,0.


1,0.9051035,-0.0085272,-0.4251058

1,0.0085272,0.9999618,-0.0019028

1,0.4251058,-0.0019028,0.9051416


"RotationMatrix applied to GRAVITY VECTOR"
0.996695,0.,0.


1,0.8891032,-0.0011475,-0.4577054

1,0.0011475,0.9999993,-0.000278

1,0.4577054,-0.000278,0.8891039


"RotationMatrix applied to GRAVITY VECTOR"
1.029546,0.,0.


1,0.9008564,-0.0214038,-0.4335893

1,0.0214038,0.999759,-0.0048822

1,0.4335893,-0.0048822,0.9010974


"RotationMatrix applied to GRAVITY VECTOR"
1.027213,0.,0.


1,0.8917314,-0.022338,-0.4520134

1,0.022338,0.9997362,-0.0053375

1,0.4520134,-0.0053375,0.8919952
